year,africa,north_africa,algeria,libya,morocco,tunisia,sub_saharan,angola,benin,botswana,burkina_faso,burundi,cameroon,cape_verde,central_african_rep,chad,republic_of_congo,dem_republic_of_congo,cote_divoire,djibouti,equatorial_guinea,eritrea,ethiopia,gabon,gambia,ghana,guinea,guinea_bissau,kenya,lesotho,liberia,madagascar,malawi,mali,mauritania,mauritius,mozambique,namibia,niger,nigeria,rwanda,senegal,seychelles,sierra_leone,somalia,south_africa,south_sudan,sudan,eswatini,tanzania,togo,uganda,zambia,zimbabwe,americas,central_america_and_the_caribbean,belize,costa_rica,cuba,dominican_republic,el_salvador,guatemala,haiti,honduras,jamaica,mexico,nicaragua,panama,trinidad_and_tobago,north_america,canada,usa,south_america,argentina,bolivia,brazil,chile,colombia,ecuador,guyana,paraguay,peru,uruguay,venezuela,asia_and_oceania,central_asia,kazakhstan,kyrgyzstan,tajikistan,turkmenistan,uzbekistan,east_asia,china,japan,north_korea,south_korea,mongolia,taiwan,south_asia,afghanistan,bangladesh,india,nepal,pakistan,sri_lanka,south_east_asia,brunei,cambodia,indonesia,laos,malaysia,myanmar,philippines,singapore,thailand,timor_leste,viet_nam,oceania,australia,fiji,new_zealand,papua_new_guinea,europe,central_europe,albania,bosnia_herzegovina,bulgaria,croatia,czechia,czechoslovakia,estonia,german_dr,hungary,kosovo,latvia,lithuania,montenegro,north_macedonia,poland,romania,serbia,slovakia,slovenia,yugoslavia ,eastern_europe,armenia,azerbaijan,belarus,georgia,moldova,russia,ukraine,ussr,western_europe,austria,belgium,cyprus,denmark,finland,france,germany,greece,iceland,ireland,italy,luxembourg,malta,netherlands,norway,portugal,spain,sweden,switzerland,uk,middle_east,bahrain,egypt,iran,iraq,israel,jordan,kuwait,lebanon,oman,qatar,saudi_arabia,syria,turkey,uae,yemen,north_yemen
1959,,,,,250.6280392,,,,,,,,,,,,,,,,,,,,,48.48077328,,,,,,,,,,,,,,,,,,,,279.7654546,,174.6344863,,,,,,,,,,0,,,73.57230665,135.3985901,,37.75557051,,513.1518286,,,,,11185.39523,411863.9369,,1491.967608,,2103.253904,180.5955916,368.4554476,220.9303344,,,1216.009643,,7.430365541,,,,,,,,,,8795.830862,,855.2748447,,,,,,3036.425615,,628.5105807,48.91850259,,,,,,238.7317004,472.0263707,533.9845559,,486.8632644,,,,4603.085468,,1092.197084,,,,,,,,,2715.095855,,,,,,,,,,,,,,,,,,,,,,,,,1423.106589,4070.975631,,2099.496394,756.5976931,29608.56369,29255.56597,1512.218113,0,270.2678297,9699.611201,78.16883526,,5655.920177,1789.514557,1491.261587,3218.767611,,3943.045331,39270.65162,,,,,273.3457944,1053.175245,,,,,,,,1215.039003,,,
1960,,,,,250.0509983,,,,,,5.753087454,,,,,,,,,,,,,,,85.39267004,,,,,,,,,,,,,,188.3210344,,,,,,319.1969295,,196.20644,,,,,,,,,,0,,226.4576116,72.18268889,126.1763435,,30.24741106,,578.2728542,,,,,10937.90191,401727.0987,,2234.491044,,1930.430748,250.4318847,405.3077477,296.4265115,,51.86803059,1270.784532,,7.46000266,,,,,,,,,,8808.969752,,829.4344711,,,,,,3065.614376,,654.9192252,49.28206086,,,,,,220.3365135,456.1315911,530.7656683,,453.6352426,,,,4528.660738,,1119.898165,,,,,,,,,2984.616216,,,,,,,,,,,,,,,,,,,,,,,,,1334.245765,4161.606795,,2340.541181,795.6141889,30391.72933,31499.34566,1606.392985,0,287.4830817,10185.7307,50.89063822,,6346.586054,1703.611325,1551.413599,3863.681863,3691.865064,3692.98552,40082.64134,,,,568.7558657,313.1154045,1144.691261,,,,,,,,1339.809554,,,
1961,,,,,285.1733385,63.13866797,,,,,6.287804256,,,,,,,,,,,,,,,106.2097418,,,,,,,,,,,,,,214.3315387,,,,8.818127244,20.41343669,508.0143795,,198.1654797,,,,,,,,,,0,,223.3425802,75.14312164,126.8784381,,29.09816026,,585.377525,,,,,11164.22349,418719.3175,,2720.628173,51.20084427,1800.724627,295.4767453,484.2179271,284.6746518,,45.40713162,1513.176594,,3.754395251,,,,,,,,,,8562.586443,,864.7979281,,,,,,3307.243318,,648.2368003,49.98892702,,,,,,182.7739457,436.9206018,544.4156248,,392.6721599,,,,4525.299815,,1052.234127,,,,,,,,,3445.664225,,,,,,,,,,,,,,,,,,,,,,,,,1281.151684,4207.105931,,2398.636979,919.3255783,31585.11708,33492.12728,1553.942688,0,298.899691,10461.31471,55.85084204,,7298.535702,1853.02698,2487.154479,3893.593252,3873.75897,4301.546754,40043.8449,,,,591.8874839,327.9279016,1362.190046,,,,,,,,1506.433306,,,
1962,,,,,302.666348,48.12139651,,,,,18.42972714,,,,,,,,71.31508116,,,,,,,98.979167,,,,,,,,,,,,,,278.2000979,,,,9.151303099,23.90180879,821.3443516,,236.1473893,,,,10.94577861,,,,,,0,,214.188499,105.0965107,122.9897882,,28.78382398,,664.138023,,,,,11595.6568,453707.2417,,2635.369112,50.90717789,1916.903962,265.7882116,751.9075593,271.1440094,,51.5577597,1494.507596,,6.612912929,,,,,,,,,,8765.922783,,1003.342297,,,,,,4545.766505,,621.3175395,45.69182391,,,,,,188.1938281,470.4701339,611.5666398,,513.2934153,,,,4716.000895,,1026.090789,,,,,,,,,3536.391918,,,,,,,,,,,,,,,,,,,,,,,,,1348.68084,4477.598045,,2936.176201,1289.841703,32642.51947,42581.97647,1580.172319,0,303.3036242,11570.52149,67.75155039,,7748.271687,2046.961555,2827.25467,4755.294094,4165.791826,4755.245333,40557.93055,,,1343.992604,609.6132412,348.4675741,1747.072532,,,,,,,,1604.454801,,,
1963,,,,,398.2563968,48.30749369,,,,,18.80839164,,,,,,,60.26272606,64.99136709,,,,,,,105.4595373,,,30.06422931,,,,,,,,,,,336.6626028,,,,9.84765479,27.94759825,822.6888202,,255.5607311,,,6.088359612,39.66151784,,,,,,0,,202.4552805,101.5640487,152.1700018,,27.85046466,,745.404641,,,,,11076.76506,447528.6473,,2686.787133,63.19631398,1881.321679,264.4412132,858.9269373,239.2513093,,56.18529779,2065.977529,,7.868275164,,,,,,,,,,9528.921783,,829.4202615,,,,,,7441.549148,,671.4554302,39.2305252,,,,,,253.356528,534.7005981,690.4843176,,545.2068422,,,,5302.994919,,1045.74606,,,,,,,,,3359.979047,,,,,,,,,,,,,,,,,,,,,,,,,1653.548025,4615.552253,,2945.645944,1024.264246,32038.79358,47804.20984,1620.097639,0,306.6728554,12876.97921,64.58349666,,7913.609656,2132.141575,2761.556551,4479.884291,4442.039163,4954.28607,41250.56028,,,1928.403037,711.3162153,405.0829931,2087.408068,,,,,,827.8644285,,1648.555858,,,
1964,,,,159.434547,357.8056618,58.26936196,,,,,18.73882902,,,,,,,82.94598301,89.63136131,,,,,,,100.5631623,,,95.03423749,,,42.769623,,,,,,,,398.50866,,,,9.59645518,29.71491228,1153.004305,,365.7614677,,,17.96917375,72.40021491,,,,,,0,,216.0714031,93.60021562,133.7412486,,40.82484842,,780.4027312,,,,,11202.87856,432608.0377,,2257.632785,,1756.239351,252.7110754,819.9847394,278.347793,,59.07632439,2328.71083,,8.175495029,,,,,,,,,,10461.6425,,784.3934373,,,,,,7264.002045,,756.6605529,38.07306975,,,,,,354.2195388,524.2665192,633.9252847,,559.8945658,,,,6140.251644,,1247.089124,,,,,,,,,3176.713655,,,,,,,,,,,,,,,,,,,,,,,,,2080.252679,4953.303955,,3052.835908,1009.953308,32980.50625,45838.82329,1683.888718,0,342.9554996,13187.04443,83.32253699,,8630.71788,2162.142503,3010.327031,5119.079663,4670.098473,5368.779483,42367.89784,,,2484.645341,827.4897391,460.0503246,2132.756497,,,,,,874.5215632,,1768.081427,,,
1965,,,,194.0168391,312.0848226,45.74044879,,,,,12.36401133,13.12409923,,,,,,135.064885,100.7301564,,,,235.5128478,,,84.96709878,,,154.447489,,,46.4964211,,28.43990958,,,,,,464.6881074,,,,9.784221983,25.28117359,1180.737017,,504.7954378,,,17.64342238,126.1735419,,,,,,0,,208.3190726,105.5411994,192.792211,,42.26944398,,748.4928711,,,,,10381.80011,434502.7407,,2177.464775,,2944.594982,301.1853522,864.6434461,311.6998401,,67.68443488,2205.198051,,9.217085236,,,,,,,,,,11226.89436,,824.1101725,,,,,,7100.384968,,1221.91455,39.44788704,,,,,,496.9782746,487.8981122,614.6996818,,604.0187127,,,,7091.52986,,1241.120741,,,,,,,,,3161.036479,,,,,,,,,,,,,,,,,,,,,,,,,1721.139299,4795.132262,,3239.713441,1030.073709,33457.43628,45225.31364,1821.465487,0,354.1324707,13686.43492,82.74327798,,8320.069201,2505.740026,3012.104983,5135.502778,4950.863547,5411.272339,42494.73478,,,2485.357776,1042.215852,563.3282681,2231.267228,,,,,,1253.427092,,1852.4507,,,
1966,,,,347.3707348,339.0469666,47.95229153,,,,,13.48295615,13.83908933,,,,,,115.849903,99.67401894,,,,241.6588943,,,99.84872394,,,193.8777092,,,47.70773158,,25.97572028,,,,,,357.9768931,,,,9.507349944,32.66331658,1278.888275,,442.950474,,,15.01555583,169.3746075,,,,,,0,,192.2671774,108.5763727,196.8381496,,43.1896431,,785.6984181,,,,,10253.92337,513750.9226,,2252.304295,,2663.636712,331.8949725,889.6422739,288.2850437,,76.54884031,2213.891248,,9.509795859,,,,,,,,,,12128.54959,,1488.268532,,,,,,6686.018468,,1424.780089,41.71626636,,,,,,616.9619354,382.3224002,684.9472288,,650.02805,,,,8630.295452,,1409.610312,,,,,,,,,3394.60963,,,,,,,,,,,,,,,,,,,,,,,,,1977.131827,5178.986283,,3188.418412,1013.221945,34465.45777,44389.63914,1977.054525,0,336.8513099,14687.15146,83.48194854,,8081.216551,2490.816066,3173.755623,6173.279897,4996.851038,5687.249863,42267.94064,,,2131.834123,1339.78644,575.0174398,2472.879379,,,,,,2085.950369,,1856.311594,,,
1967,,,,439.9270282,353.7269973,51.39428188,,,,,13.34500817,14.53689701,,,,,,104.2377791,108.1720246,,,,204.2746545,14.26616954,,,,,233.4558976,,,50.53294741,,26.48596889,,,,,,1601.309184,,,,10.42993671,37.83919598,1420.385496,,414.4921006,,68.86720574,16.541118,193.2951353,,,,,,0,,182.7680285,110.0277708,217.2082053,,44.25720669,,781.4045162,,,,,10902.01562,589821.9445,,2507.426813,,2562.53885,361.6863368,912.8885675,306.610812,,83.0069971,3825.816563,,10.77515585,,,,,,,,,,12998.07935,,1654.602163,,,,,,6246.87273,,1160.652317,42.84193929,,,,,,569.2214763,366.8748192,761.4953838,,746.0191427,,,,10152.58068,,1367.72456,,,,,,,,,3785.723892,,,,,,,,,,,,,,,,,,,,,,,,,2003.521018,5430.262836,,3185.966007,991.8598174,36254.04426,46176.59741,2545.679149,0,342.8994881,14427.40611,67.75007313,,8956.203932,2568.813137,3895.184352,5802.586918,4870.476613,5540.111577,43348.16746,,,2233.181036,1704.481605,555.6185231,4029.663718,925.5019215,,,,,2286.353679,,1999.991776,,,
1968,,,,526.1634869,455.0748171,57.66034192,,,,,13.7072719,14.94611204,,,,,,107.93313,107.5007963,,,,191.0071315,13.94059648,,134.987815,,,238.1017714,,,53.90456295,6.796465521,27.54540764,,1.698062919,,,,2474.473736,,,,10.97980268,40.78239609,1492.016376,,508.8185653,,66.130219,17.57151483,236.7753959,,,,,,0,,190.3576366,104.8123066,205.2589004,,45.04588799,,850.4577675,,,72.38445063,,10590.29844,608764.5217,,3031.009551,80.40142321,2658.850592,368.3458102,754.4819183,340.2205691,,91.71928745,1906.691776,,10.72760978,,,,,,,,,,13869.16397,,1949.433037,,,,,,6469.250522,,1193.269837,45.11992098,,,,,,589.6041991,367.3201072,883.8975578,,897.0179414,,,,10912.0513,,1445.981922,,,,,,,,,3978.485499,,,,,,,,,,,,,,,,,,,,,,,,,2007.827561,5621.853042,,3400.029877,1131.461506,36296.98693,40984.15682,2972.85426,0,352.6964863,14601.97048,59.99779393,,8852.875152,2722.961256,4100.595246,7687.244404,4876.296654,5277.265033,42730.70443,,,2898.145602,2236.243606,675.5650329,5106.265711,1129.038106,,,,,2266.957938,,2236.004954,,,
1969,,,242.6755047,718.1918877,413.2075411,54.98946684,,,,,14.04438611,18.50659671,,,,,,145.9101297,114.084816,,,,187.0179518,20.69097304,,139.2960666,,,229.5335373,,,54.49649102,6.742176397,31.25344329,,2.062143856,,,,4166.284279,,,,13.11155105,41.74397032,1538.86679,,681.1515421,,70.27205753,18.18304716,242.955791,,,,,,0,,179.9599959,119.1083723,173.4485647,,45.43270962,,995.2689164,,,73.09436751,,9973.861716,582022.7564,,3701.062223,83.22343278,2801.87637,365.8931991,699.111714,433.6535275,,96.37113637,2044.716921,,10.12301076,,,,,,,,,,15064.70664,,2247.50854,,,,,,6856.125931,,1297.670349,46.5624671,,,,,,573.7696966,420.0629125,1066.341577,,1046.918822,,,,10548.6144,,1501.216342,,,,,,,,,4143.882581,,,,,,,,,,,,,,,,,,,,,,,,,2066.734685,5659.458676,,3347.575718,1034.980018,34718.65144,44953.25739,3365.144472,0,368.0196403,14412.07049,61.30943,,9254.213711,2873.956545,3849.050819,9068.916177,5133.274154,5634.104121,40380.9058,,,3841.127068,2794.051045,824.2709732,6298.342345,1029.726449,,,,,2776.794065,,2167.761366,,,
1970,,,226.7214388,1285.205974,426.9641109,70.26797638,,,16.86245025,,15.26420966,,148.7116171,,,,59.36038509,190.8853414,123.0065681,,,,170.4202752,22.59192999,,129.3851736,,,242.7873232,,,52.8149354,6.689515184,35.65228256,,2.497813562,,,,3544.082619,,,,14.75021275,51.94805195,1452.098618,,814.6916036,,99.83952601,19.66389797,257.5153374,,,,,,0,,174.8049073,110.1003921,311.0259945,,60.72062335,,929.1497241,,,83.99593792,,9993.285345,539388.9423,,3552.651327,109.6667722,3332.511764,781.0139625,860.4394534,442.9159571,,105.1564738,3292.930161,,10.21748158,,,,,,,,,,16504.89675,,2323.493026,,,,5.373185204,,7069.649413,19.88077082,1415.696113,58.33998915,,,,,,782.3311467,469.590248,1156.492145,870.9607817,1230.995838,,,,9862.379223,2.593511088,1639.050103,,,,,,,,,4224.993742,,,,,,,,,4898.832952,,,,,,,,,,,,,,,,2045.247053,6032.608795,,3532.101824,1097.924333,34912.44034,45464.87649,3630.489065,0,416.5438516,15212.42807,62.28006514,,9475.917895,2881.901274,4283.013955,9143.884855,5272.509479,5796.126942,41593.94504,,,4549.464809,3011.049926,842.4942611,8574.282924,847.9755877,,,,,3044.461663,,2404.545775,,,
1971,,,222.2770366,1326.370098,511.9573306,72.97740439,,,16.84987611,,15.46001213,14.06465212,150.564249,,,,59.69419866,179.4030279,166.4209801,,,,176.8730433,25.68808486,,105.0160693,,,303.3958338,,,52.56941163,7.04449148,27.73617063,,2.81471125,,,,2942.89608,,,,14.19784765,52.77777778,1599.116988,,817.0064333,,137.2890206,21.08214071,440.3108538,,,,,,0,,172.0536879,130.8205738,214.7443403,,68.40005835,,954.5863201,,,111.3917727,,10328.08303,485302.4927,,3666.581457,99.96190566,3321.096797,1182.272032,1352.916841,395.0995503,,107.628172,3496.390025,,12.78305696,,,,,,,,,,18199.72533,,2730.902741,,,,,,8429.314308,23.04935941,1573.390701,86.8600583,,,,,,877.0200982,478.9273701,1079.547601,1054.177451,1481.283981,,,,9583.873101,3.036454619,1541.617561,,,,,,,,,4526.686277,,,,,,,,,5229.199579,,,,,,,,,,,,,,,,1968.900012,6286.818538,,3592.641449,1193.36882,35390.39403,48709.11828,3837.514026,0,469.4429149,17096.23244,63.31785006,,9910.050684,2954.641383,4671.071737,8788.642649,5389.400167,6029.004391,41500.8163,,81.14979986,5112.052059,1874.768407,856.1052669,9269.304756,800.7622386,,,356.4495339,,3618.533505,,2755.373045,,,
1972,,,215.1353265,1024.151725,566.2803802,82.37903274,,,18.39540027,,16.60473745,18.55219655,147.6083066,,,,46.18443533,143.072805,201.0980694,,,,197.3139791,27.57680664,,90.25339594,,,386.1142861,,,57.23311983,7.545297229,33.8853561,,2.978753846,,,,3712.826281,,,,14.47639591,61.39534884,1636.073165,,706.3337774,,160.9062575,21.94829519,559.0167911,,,,,,0,,170.91792,168.5427372,230.932744,,89.46827005,,1152.579472,0.075676507,,104.9058604,,10389.48579,484604.5121,,3771.486854,137.0518484,5015.103487,1300.620311,844.2347294,459.9503461,,137.0668406,3646.004147,531.6798019,13.95633997,,,,,,,,,,20316.6792,,3194.473385,,,,,,8887.252396,23.4755859,1763.724707,77.13076145,,,,,,864.2147633,467.5804664,1259.741782,1115.278231,1528.210949,,,,9588.164078,3.517531594,1563.911253,,,,,,,,,4802.285465,,,2464.051634,,,,,,5262.816046,,,,,,,,,,,,,,,,2041.114348,6626.391337,,3572.952078,1372.253881,36316.15365,52104.54333,4091.058026,0,557.514681,18974.96114,70.2692514,,10221.87379,2953.561964,4680.469579,10473.03987,5559.547255,6141.847187,44143.96684,,77.22051825,4215.529124,1629.045343,827.6521273,9398.607422,885.6629604,616.5967197,,599.7419159,,5076.782054,,2896.056666,,,
1973,,,222.9066167,1272.784009,643.589741,80.94560976,,,19.9701386,,16.76778667,26.3347545,150.2932969,,,,60.16378142,134.7523305,144.8009071,,,,195.0786313,32.41782867,,91.07777812,,,435.8301448,,,60.16817231,12.67545421,33.32135103,,3.16881657,,,,3974.970069,48.36868264,,,16.54919844,64.01590457,2060.881409,,641.993381,,207.8921253,25.11725109,440.8293475,,,,,,0,,157.9217216,177.4087654,197.8621893,,87.8038014,,1276.510141,0.057200027,,91.37284227,,10318.26485,460531.9395,,3951.116911,160.1260075,5696.237073,1329.066701,767.4010011,536.8375803,16.40457333,130.2108299,4388.150767,953.0236444,13.94249115,,,,,,,,,,21439.79937,,3213.402779,,,,6.230684717,187.0160441,7849.715126,23.96299418,1647.813378,62.65235988,,,,,,800.4370518,438.849153,1678.612608,1079.674676,1433.338074,,,,9184.680215,3.604963444,1520.334995,,,,,,,,,5927.459258,,,2401.926097,,,,,,5607.626644,,,,,,,,,,,,,,,,2120.280998,6928.913509,,3398.198842,1429.109983,37641.33656,54103.89894,4113.853285,0,596.7240254,18944.10123,77.07027386,,10381.27431,2974.720745,4423.681021,10321.76369,5577.185917,5952.276733,44290.51069,,82.27705214,4283.061765,1743.996777,1026.000985,13843.39954,853.8871494,772.7111085,,646.0239807,,6555.614911,,3070.587015,,,
